﻿spot,rating,location,website,phone,notice,price,introduction,time,policy,service,grade,number,traffic,sid
龙窝酒厂,,西安市鄠邑区龙窝酒文化博物馆,,,,,,,,,4.6,7条点评,,529
安定园,,安定门,,,,,安定园是一个免费公园，面积很大，居互城河与城墙之间。树木丰茂，花草星罗棋布。是大人儿童茶余饭后的适宜去处。,乘坐4路到西门里(儿童医院)站下,,,4.4,8条点评,,530
药王洞,,陕西省西安市莲湖区,,,,,药王洞是当地的一条小吃街。街上小吃店铺众多，可以在这里品尝到很多当地的特色美食。,乘坐37路到北门里站下,,,5,5条点评,,531
地质陈列馆,,秦陵北路五砂厂内,,,,,,,,,,,,532
沣河湿地公园,,108国道沣河大桥北侧,,,,,,7:00-21:00；冬季最晚20:00入园。,乘坐823路到沣东沣河生态景区南门站下,,5,4条点评,,533
金辉运动公园,,第五大道北150米,,,,,位于西安金辉世界西侧，周边有商场、住宅区等。建有儿童活动区、塑胶频道、健身岛、足球场等，是一个以运动为主题的休闲公园。,乘坐603路到东三爻东站下,,,4.2,11条点评,,534
净心阁,,大慈恩寺内,,,,,,,,,4.3,6条点评,,535
河公园,,长乐东路(近广播电视大学新城分校),,,,,,,,,4.5,6条点评,,536
贾平凹馆,,西曲馆22号(建大附小),,,,,馆内这里展示了贾平凹先生的文学成就，书法绘画以及文物收藏等。是一个景色不错，文化气息浓厚的地方。,乘坐地铁4号线到大唐芙蓉园站下,,,5,3条点评,,537
顺城巷,,西安市碑林区顺城巷(碑林区南门),,,,,西安的顺城巷，巷若其名，是一段在城墙内侧顺墙而成的街巷，一侧是巍巍古城墙，一侧是秀丽端庄的明清古建，小巷虽没有新建大道的宽阔华丽，却因它的存在，使得原本因墙而隔断的围城内与外，城垛与飞檐不觉间浑然一体。城墙不再孤独，院落不再断续。在这青石小径的巷子里，集中了风格迥异的青旅、食店、酒吧、咖啡屋，更有一些秦腔或相声曲艺社，院门半掩静待听客到访。看够了大风景，在城市高楼的间隙里，沿着城墙根，深入到城市的小脉络当中，或许更能了解西安这座城市。,乘坐600路到南门里站下,,,4.8,6条点评,,538
珍友社相声大会,,大庆路土门工人文化宫内,,,,,场馆的布局很有特色，可以感受一下现场听相声的氛围，能了解到六朝古都的文化。,乘坐地铁1号线到开远门站下,,,4.4,5条点评,,539
天朗城市公园,,大庆路,,,,,,,,,3.8,10条点评,,540
张灵甫将军陵园,,东大村环山路,,,,,张灵甫陵园位于陕西省西安市东大村环山路上，是张灵甫与原配邢琼英女士的合葬墓。,[],乘坐环山旅游1号线到环山路口(西工大长安校区)站下,,,,,541
西安经文牛文化陶瓷博物馆(牛文化陶瓷博物馆),,经开区凤城一路23号,,,,,,,,,4.3,3条点评,,542
基督教堂,,伞塔路36号,,,,,,,,,4,7条点评,,543
左银台门遗址,,大明宫遗址公园内,,,,,,,,,,,,544
庆华文化宫,,田洪正街009,,,,,,,,,4.3,3条点评,,545
京广·尚悦24h会员书店,,南关正街16号中贸广场A区4层,,,,,书店内环境悠闲雅致，书的种类齐全。书店内还有不同的功能区域。是人们休闲学习的好去处。,全年 10:00-22:00,乘坐229路到夏家庄站下,,4.4,5条点评,,546
铁人王进喜纪念馆,,电子二路18号西安石油大学内,,,,,,,,,,,,547
王家大院,,西安市临潼区牡丹路向阳山庄附近,,,,,王家大院座落于西安市临潼区牡丹路向阳山庄附近。是北方气派和规划兼有的独立院落，砖雕、木雕、石雕独具特色，建议找个专业导游全程讲解，否则就是走马观花了。“王家归来不看院”名不虚传！,乘坐地铁9号线到华清池站下,,,4.8,4条点评,,548
西部清真饮食博物馆,,东关正街38号老孙家4层,,,,,,,,,5,3条点评,,549
唐都新碑林博物馆,,大明宫遗址公园内,,,,,,,,,5,2条点评,,550
翠仙宫,,太乙宫镇陕西翠华山国家地质公园内,,,,,,乘坐905路中转车到翠华山旅游车站下,,,5,2条点评,,551
葛牌镇,,关中平原东南部,,,,,葛牌镇隶属于陕西省西安市蓝田县，位于秦岭北麓，关中平原东南部，是古城西安的东南门户，距西安45公里。葛牌镇是原红二十五军1935年在陕西关中建立起来的较早的红命根据地，具有非常重要的历史地位。葛牌镇地处秦岭深处，环境优美、空气清新、民风朴实，在周围群山松林的怀抱下，一条小河从山间缓流而下，清澈柔和，给人以纯洁的感觉。,全年 全天开放,,,4.4,7条点评,,552
中国古代科技文化展览馆,,陕鼓大道,,,,,,,,,5,2条点评,,553
翰林院遗址,,大明宫遗址公园内,,,,,,,,,,,,554
袁家堡,,西安市未央区,,,,,袁家堡是西安市的一个小乡村，这里空气特别好，环境优雅，还有很多美味的小吃。,乘坐234路到袁家堡站下,,,5,2条点评,,555
西安市环城公园玉祥门景区,,陕西省西安市莲湖区一中北路环城公园玉祥门景区南区,,,,,,乘坐4路到西门里(儿童医院)站下,,,5,6条点评,,556
汉建章宫遗址,,孙武路,,,,,,,,,,,,557
翎墨画廊,,大唐不夜城,,,,,,,,,5,1条点评,,558
含耀门遗址,,大明宫遗址公园内,,,,,,,,,,,,559
牡丹门,,城南牡丹路西,,,,,,,,,4,3条点评,,560
曲江农业产品展示厅,,陕西省周至县107省道,,,,,,,,,4,3条点评,,561
世源社相声,,德福巷北口,,,,,在这里可以欣赏的十分专业的相声表演。是人们休闲放松的好地方。,乘坐229路到五味什字站下,,,4.7,3条点评,,562
西安烈士陵园思念堂,,东仪路141号,,,,,,,,,,,,563
兴安门遗址,,二马路,,,,,,,,,,,,564
龙首渠遗址,,二马路,,,,,,,,,,,,565
救苦地藏殿,,西安市雁塔区兴善寺西街,,,,,,,,,4,5条点评,,566
西朝堂遗址,,建强路93号,,,,,,,,,,,,567
绿迪园林,,东伍村,,,,,,,,,5,1条点评,,568
石砭峪水库,,五台乡,,,,,石砭峪水库位于西安 五台乡境内 ，主坝坝型为沥青混凝土斜墙堆石坝。,乘坐730路到西水寨站下,,,5,2条点评,,569
终南山古观音寺,,西安市长安区东大街办古观音禅寺,,,,,终南山古观音禅寺位于陕西省西安市长安区东大街办罗汉洞村内，距西安市区约30公里。始建于唐贞观二年（公元628年），距今有1400年历史，为终南山千年古刹之一。,全年 7:30-17:30,乘坐734路到南石村站下,,0,3条点评,,570
北门城楼遗址,,西安市莲湖区环城北路西安城墙(环城北路)内,,,,,,,,,,,,571
大明宫陶瓷艺术博物馆-精品间,,西安市新城区自强东路585号大明宫国家遗址公园大明宫陶瓷艺术博物馆内,,,,,,具体开放时间请咨询景区,乘坐地铁4号线到含元殿站下,,4,2条点评,,572
太奥下沉广场,,西安市莲湖区丰禾路275号,,,,,,,,,5,2条点评,,573
财神殿,,大学习巷与小学习东巷交叉口东150米,,,,,,,,,4,2条点评,,574
中华第一迎宾礼仪广场,,西安市碑林区南关正街159号,,,,,,,,,4.5,2条点评,,575
西安杜陵,,陕西省西安雁塔区曲江街道三兆村南,,,,,,全年 09:00-20:00(最晚入园17:00)；具体开放时间以景区当日实际情况为准。,乘坐736路到杜陵西路公交调度站下,,4,2条点评,,576
怡沁园,,沣峪口转盘西侧(近东大温泉),,,,,,乘坐734路到环山路口(西工大长安校区)站下,,,5,1条点评,,577
丰德寺,,210国道,,,,,,乘坐775路到沣峪口站下,,,5,1条点评,,578
慧静寺,,东城大道,,,,,,乘坐243路到梆子井站下,,,4.8,5条点评,,579
盛世牡丹苑生态文化旅游区,,西安市鄠邑区阿姑泉村牡丹苑风景区,,,,,,,,,5,1条点评,,580
九鼎万花山,,210国道东50米,,,,,,,,,5,1条点评,,581
薄姬墓,,狄寨镇鲍旗寨西安市六十二中学附近,,,,,,乘坐240路到陕西职业技术学院站下,,,5,1条点评,,582
大慈恩寺,,雁塔南路,,,,45,,3月1日-10月31日8:00-17:00，16:30停止入场；11月1日-次年2月28日8:00-17:30，17:00停止入场。,乘坐606路到大雁塔南广场站下,,4.5,26条点评,,583
艺象画廊,,含光路南段荞麦园旁,,,,,,,,,5,2条点评,,584
莲花汤,,华清路38号,,,,,,具体开放时间请咨询景区,乘坐地铁9号线到华清池站下,,4,2条点评,,585
尚食汤,,西安市临潼区华清路38号,,,,,,,,,4,2条点评,,586
高冠峪河,,西安市鄠邑区高冠峪风景区内,,,,,,,,,5,1条点评,,587
闫良清真寺,,西安市阎良街13号,,,,,,,,,4.2,5条点评,,588
渭河生态景观区,,明光路与滨河路交叉口东南150米,,,,,景区水质资源丰富，环境幽静。湖水清澈，岸柳婆娑，青山倒影，水天一色。,乘坐机场城际线到渭河南站下,,,5,3条点评,,589
香山寺,,陕西省西安市周至县,,,,,香山寺肇始于苻秦，兴盛于姚秦，至南北朝、隋唐时期成为佛教胜地。悠闲别致，闹中取静，让人心旷神怡。,乘坐周至103路九峰线到九峰镇站下,,,5,1条点评,,590
百塔寺,,108省道,,,,,百塔寺是中国佛教三阶宗祖庭，位于终南山北麓长安区王庄乡天子峪口，地势高敞，视野辽阔。东眺五台翠华，群峰耸立；西览草堂烟雾，沣水碧涛；南依巍巍秦岭，林木葱郁；北瞰关中平原，沃野千里。可谓龙脉龟背，风景一绝，隋唐时期即为佛教僧侣修行的道场。,全年 09:00-18:00,乘坐730路到西水寨站下,,4.5,2条点评,,591
阎良公园,,荆山开发区阎良公园,,,,,公园内修建了人工湖和假山，架设小石桥，设立景观亭等景点。曲径通幽，树木茂盛，郁郁葱葱，风光秀丽。是集游憩观赏、休闲健身于一体的城市公园。,,,,4.3,4条点评,,592
沣峪森林公园龙潭戏水景区,,沣峪森林公园龙潭戏水景区(公交是921路到沣峪口下车),,,,,,乘坐高新城乡21号线到沣峪口站下,,,3,2条点评,,593
光顺门遗址,,大明宫遗址公园内,,,,,,,,,,,,594
闻雷泣墓,,凤栖山墓园北区,,,,,,,,,5,1条点评,,595
东朝堂遗址,,太华南路302号,,,,,,,,,,,,596
秦始皇帝陵博物院丽山园-演艺广场,,西安市临潼区秦陵北路秦始皇帝陵博物院丽山园内,,,,,,,,,5,2条点评,,597
崇明门遗址,,大明宫遗址公园内,,,,,,具体开放时间请咨询景区,乘坐地铁4号线到含元殿站下,,,,,598
玉宇宫,,石桥路东200米,,,,,,,,,4,1条点评,,599
马场,,六村堡街道尚稷路北450米,,,,,,乘坐882路到正阳大道尚稷路口站下,,,4,1条点评,,600
星辰汤,,西安市临潼区骊山北华清路38号（华清宫内）,,,,,,具体开放时间请咨询景区,乘坐地铁9号线到华清池站下,,4.5,2条点评,,601
梨园文化体验区,,华清路38号华清池,,,,,,,,,4.5,2条点评,,602
石砭峪,,包茂高速公路,,,,,这是一个历史悠久的地方，谷口有一个像鳖一样的巨石，这里风景秀美，可以看到壮观的石砭峪水库。,,,,4,1条点评,,603
西安市明清皮影艺术博物馆,,贞观北街东段,,,,,博物馆里展示了很多与皮影有关的物件，主要以陕西东路皮影为主，除了皮影之外，还可以了解古代的服饰文化。,手机充电：共享充电宝,乘坐26路到翠华路雁南一路口站下,,4,1条点评,,604
陕西广电大剧院,,西安市雁塔区长安南路336号,,,,,,,,,4,1条点评,,605
轩辕殿,,西安市未央区欧亚三路,,,,,轩辕殿是一座雄伟的现代建筑，殿内是一个空旷的大堂，没有立柱支撑。大殿的中间有一座石碑，上面刻有黄帝的图像和纪念碑文。,,,,4,1条点评,,606
杨凌农科城,,航天大道59号金羚大厦808室,,,,,,,,,4.5,3条点评,,607
五环广场,,陕西省西安市未央区西安城市运动公园南门,,,,,,,,,4.8,5条点评,,608
大禹纪念馆,,西安市临潼区华清路38号华清池内,,,,,,,,,,,,609
金佛寺,,鱼斗路周鱼路,,,,,金佛寺位于西安市雁塔区，在当地小有名气。深居一隅的幽静寺庙在初一、十五之际，善男信女络绎不绝，是当地佛教文化的汇聚之所。,,,,4,1条点评,,610
含光门城门楼,,西安环城南路,,,,,,,,,3.4,5条点评,,611
昭庆门遗址,,建强路,,,,,,,,,,,,612
鹦鹉寺公园,,风凰大道芷阳三路弯道处,,,,,汉文化的主题公园，建成了凤凰原、鹦鹉谷、兰台、芷阳别馆、兰池、鹦鹉池、扶荔池等景点，形成了凤凰原景区、兰池景区、鹦鹉池景区、扶荔池景区四大景区。壮美的园林景观，浓郁的汉风神韵，此地成为成为广大市民游客的新去处、新景点。,乘坐地铁9号线到鹦鹉寺公园站下,,,4.4,5条点评,,613
妖马洞,,陕西省西安市雁塔区寒窑之内,,,,,,,,,3.5,4条点评,,614
车入区,,陕西省西安市长安区秦岭北麓环山生态旅游带,,,,,,乘坐334路到野生动物园站下,,,4.3,3条点评,,615
青华宫,,曲江春临村青华宫道观,,,,,青华宫是西安城南一座合法道教活动场所。每年都吸引着众多信徒前来朝拜。,乘坐192路到春临二路站下,,,3.3,4条点评,,616
崔自默艺术馆,,咸宁学巷6号,,,,,,,,,3,1条点评,,617
陶五角形水道,,曲江新区芙蓉西路99号大唐芙蓉园内,,,,,,,,,3,1条点评,,618
辋川,,陕西省蓝田县城西南的尧山South-West of Lantian,,,,,,乘坐蓝田601路到文姬路南口站下,,,3.3,3条点评,,619
万花山瀑布公园,,西安市鄠邑区高冠瀑布景区以西2公里的太平峪内,,,,,公园里山清水秀，植被茂盛，园内有一帘瀑布，飞流直下，水声潺潺，场面很壮观。,乘坐鄠邑-煤场到万花山庄站下,,,2.5,4条点评,,620
右银台门遗址,,龙首北路东段16号东侧,,,,,,,,,,,,621
皇家艺术博物馆,,石化大道汉城街道办西查寨村北东1号,,,,,,,,,2,4条点评,,622
瓦胡同村,,西安市市辖区,,,,,瓦胡同村在当时是瓦胡同土著。现如今经过政府改造后，已经成为城市的一部分。地理位置很是优越。,乘坐地铁2号线到会展中心站下,,,2,2条点评,,623
土门基督教礼拜堂,,创新路,,,,,,,,,5,3条点评,,624
西安市民俗博物馆,,二环路沿线商业经济带东大街57号,,,,,西安市民俗博物馆依托于原东庙遗址。是一所集合文物、民俗的研究、保护、展示、交流为一体的专业性博物馆。,全年 周二至周日 09:00-17:30,乘坐37路到东门里站下,,0,1条点评,,625
秦岭国家植物园楼观庄园一期,,楼观大道南100米,,,,,,,,,0,1条点评,,626
天池,,西安市长安区太乙宫镇陕西翠华山国家地质公园内,,,,,天池是崩塌石块横向堵塞太乙峪形成的堰塞湖，池中有众多水生物，碧波荡漾，景色优美。您可以在这里体验到划船、滑冰、快艇、摩托艇等游玩项目，是您休闲度假的好选择。,,,,5,12条点评,,627
西安马柯美术博物馆,,兴善寺西街飞旋广场南侧，小寨路派出所旁,,,,,,,,,0,2条点评,,628
汉长安城长乐宫五号建筑遗址博物馆,,罗高路,,,,,,,,,,,,629
塔林,,慈恩路大慈恩寺内,,,,,,,,,0,1条点评,,630
御苑门,,芙蓉西路99号大唐芙蓉园西门,,,,,,,,,5,2条点评,,631
隋唐长安城墙城门遗址,,西安市莲湖区环城南路西安城墙(环城南路)内,,,,,,,,,3.7,4条点评,,632
曲江书画艺术馆,,陕西省西安市雁塔区雁南二路,,,,,,,,,4.8,8条点评,,633
老钢厂设计创意产业园,,西安市新城区韩森寨街道幸福南路109号,,,,,,乘坐700路到建工路东口站下,,,4.7,19条点评,,634
东大镇,,陕西省西安市长安区东大街道办事处区西部,,,,,东大镇是当地的特色小镇。小镇有知名的温泉浴、高冠峪瀑布和祥峪旅游度假区等。是远离城市喧嚣放松心情的好去处。,乘坐728路到长安东大站下,,,4.6,5条点评,,635
太兴山风景区,,陕西省西安市长安区库峪乡庙沟,,,,,太兴山距西安市中心45公里，山险如华山，秀似黄山，观庙庵殿、苍松翠柏、曲径通幽、群峰挺拔，整个景区可与湖北金顶武当媲美，故有“铁顶武当太兴山”之称。,乘坐12路到草场坡站下,,,4.3,8条点评,,636
沈家堡,,陕西省西安未央区沈家堡,,,,,,,,,3.7,7条点评,,637
西安唐人街,,陕西省西安市莲湖区贡院门都府大厦附近,,,,,唐人街位于大雁塔附近，这是一条古香古色的街区，有很多特色美食，很热闹。,乘坐4路到桥梓口站下,,,4.5,2条点评,,638
石峡沟,,西安市沣峪内15里处,,,,,,,,,5,1条点评,,639
曲江之夜二人转大舞台,,曲江之夜国际演大都汇 陕西省西安市雁引路 ‎,,,,,,,,,3.7,3条点评,,640
白鹿原,,陕西省西安市灞桥区东郊灞河、浐河之间,,,,,白鹿原，陕西省西安市境黄土台原，位于陕西省西安市，地跨长安区、灞桥区、蓝田县两区一县的灞河和浐河之间，东起点与篑山相接，西到西安和长安，南依秦岭和终南山，北临灞河，居高临下，是古城长安的东南屏障。因传说周平王迁都洛阳的途中，曾见原上有白鹿游弋而得名。汉文帝灞陵位于塬上，故亦称灞陵原。又因居灞水之上，故古代又称灞上。,乘坐地铁1号线到半坡站下,,,3.4,8条点评,,641
遇仙桥,,西安市临潼区华清路（昭阳门）骊山森林公园内,,,,,遇仙桥位于骊山东、西绣岭之间的石瓮谷中。据说此桥始建于唐朝，是一座长5米，宽2.4米，高5米的单孔石拱桥。相传明朝一书生赴京赶考，行至此谷感其风景幽美，宿于石瓮寺观景，第二天在此桥上遇到了前往蓬莱的八仙，求得指教，金榜题名。由此这座桥便被称作遇仙桥。站在桥上，仰望骊山，水幔悬挂，可观赏石瓮寺、举火楼、鸡上架等景点。,全年 8:00-18:00,乘坐地铁9号线到华清池站下,,,,,642
魁星阁,,西安市碑林区咸宁学巷东侧,,,,,,全年 全天开放,乘坐600路到南门里站下,,,,,643
十寨沟,,鄠邑区涝峪镇郭清村郭家山地区,,,,,十寨沟位于西安市户县涝峪镇郭清村，这里森林茂密、溪水潺潺、水多潭深、山峰秀丽、环境清幽、风景如画。相传当地山民为防匪患，在郭家山地区修建了十三个山寨，故而这里得名十寨沟。现在这里已成为西安及周边市民休闲纳凉、避暑戏水的好去处。,景区内温度较低，即使是夏天去也要备一件外套。,,,,,,644
西安独角兽星空艺术馆（悦荟广场店）,,西安市新城区解放路166号悦荟广场七层,,,,,,"1月14日-12月31日 10:00-22:00(停止售票21:30,最晚入园22:00)",乘坐32路到民乐园站下,,,,,645
白鹿仓玻璃栈道,,西安市灞桥区狄寨北路水安路368号白鹿原白鹿仓景区,,,,,,全年 周一至周五 9:00-19:00 周六至周日 9:00-20:00,乘坐241路到白鹿仓旅游景区站下,,,,,646
长安盛农园,,长安樊川南横线一号(常宁宫转盘向东2公里),,,,,,乘坐776路到终南大道樊川路口站下,,,,,,647
西安市钟鼓楼博物馆,,西安市北大街2号金钟大厦B座833室,http://www.zglxa.com/,029-87278797,,,,旺季：4月1日-10月10日8:30-21:30，淡季：10月11日-3月31日8:30-18:00,"行李寄存：我馆出入口为您提供寄存服务，同时免费提供轮椅在馆内使用。
景区讲解：专职讲解我馆向观众提供专职讲解，并提供团队助手设备（发射器和接收器），按照团队规模和讲解服务方式收取相应的讲解费用，现将收费细则和标准公示如下：A.钟楼（全程讲解，时间不少于40分钟）：1-5人（含5人），提供一名讲解员、一台发射器、5台以内接收器，讲解费30元。5-10人（含10人），提供一名讲解员、一台发射器、10台以内接收器，讲解费40元。10人-20人（含20人），提供一名讲解员、一台发射器、20台以内接收器，讲解费50元。每批次最多不超过20人，超过时按以上标准重新组织批次。B.鼓楼（全程讲解，时间不少于40分钟）：
讲解器租赁：语音导览设备我馆向观众提供语音讲解导览设备，如有需要可在讲解接待处租赁使用，现将收费细则和标准公示如下：A. 钟楼：每人每台设备15元B. 鼓楼：每人每台设备15元观众使用导览设备需缴纳押金，每台的押金为100元，参观结束后返还。观众请妥善使用和保管，并在参观结束后归还设备，如有遗失和损坏须照价赔偿（具体详见馆内设备价目表）。
轮椅租赁：免费提供轮椅在馆内使用
纪念品商店：我馆在固定位置出售精美纪念品和相关书籍",,4.5,2条点评,,648
西安市长安民居博物馆,,西安市长安区王曲街办马厂村,,,,,,乘坐960路到马厂枣园站下,,,,,,649
陕西万达博物院,,陕西省西安市雁塔区雁翔路林带路中段中国唐苑内,,,,,,乘坐游6路到唐苑站下,,,,,,650
西安健康博物馆,,西安市西影路178号,www.jkmuseum.cn,,,,,乘坐606路到新疆三所站下,,,,,,651
西安市起良蔡侯纸博物馆,,陕西省西安市西高新九峰镇起良村,,,,,,乘坐周至103路九峰线到二联村站下,,,,,,652
周至博物馆,,周至县城中心街,,,,,,乘坐周至102路到云塔广场站下,,,,,,653
大明宫国家遗址公园丹凤门遗址博物馆,,陕西省西安市自强东路585号,http://www.dmgpark.com/,,,,丹凤门是唐长安城的主要标志建筑大明宫的正南门，是唐代门阙建筑的代表作品，博物馆于2010年10月1日随同大明宫遗址公园一并对公众正式开放。,"淡季8:30-17:30 
旺季：8:30-18:00
（提升改造中）","停车场：【/】参考价格：/；地址：太华路上园区沿线及园区北门玄武门分布多个停车场方便自驾游客停放。；库位：/
景区地图：http://wx.dmgpark.com/map/",乘坐地铁4号线到含元殿站下,,,,654
西安市惟德玉文化博物馆,,陕西省西安市沣东新城三桥街办西安车辆厂生活区二期东2号,,,,,,乘坐367路到西安车辆厂站下,,,5,2条点评,,655
“飞翔梦”航空体验馆,,西安市阎良区经发二路与蓝天路交叉口往北150米路西,,,,168,“飞翔梦”航空体验馆是沉浸式互动航空体验馆，将室内+室外场馆集沉浸飞行体验、航空体验互动、航空应急学习、航空实践教育为一体，使体验者在参观、体验、学习的过程中，感受航空的魅力、中国航空的自豪。,9:00-19:00,,,5,2条点评,,656
鸿门宴博物馆,,西安市临潼区新丰街办鸿门宴路1号,,,,,,旺季：早8:30至下午17:00        淡季：早9:00至下午17:00,乘坐临潼301路零口线到鸿门宴站下,,1,2条点评,,657
陕西唐三彩艺术博物馆,,西安市碑林区南二环东段559号晨阳盛世广场八楼,www.taoyacn.com,,,,,乘坐26路到省体育场站下,,,,,,658
西北大学博物馆,,陕西省西安市碑林区太白北路229号,http://bwg.nwu.edu.cn/,,,,,停车场：【/】参考价格：/；地址：/；库位：/；校外参观人员乘坐大巴车停放在校北门外两侧，东西向停放，小车从学校北门进入，在划定停车位停放,乘坐251路到西南城角站下,,,,,659
陕西亮宝楼艺术博物馆,,陕西省西安市雁引路35号,www.sxlbl.com,,,,,乘坐606路到芙蓉东路芙蓉西路口站下,,,,,,660
西安市荞麦园美术博物馆,,陕西省西安市含光路100号,,,,,,乘坐26路到省体育场站下,,,,,,661
陕西科学技术馆,,西安市东新街252号,http://www.shxstm.org.cn/,,,,陕西科学技术馆是开展展览教育、培训教育、实验教育和科普实践的地方。使游客在参观的过程种得到启发，提高科学文化素质。,全年 周三至周日 9:00-16:30,乘坐32路到新城广场站下,,,,,662
交大西迁博物馆,,陕西省西安市咸宁西路28号，西安交通大学兴庆校区南门内东侧,,,,,博物馆内共有四层。内容主要包括溯源、西迁、致远三个部分，详细的展现了交大西迁人波澜壮阔的历史进程以及取得的辉煌成就。,全年 09:00-15:00,"景区讲解：本馆提供讲解服务，讲解时间：周一至周六10:00-12:00,14:00-17:00（夏季14:30-17:30），需提前预约。                                             讲解收费标准与交费流程1. 交大西迁博物馆可免费参观，讲解服务按照场次进行收费，收费标准为200元/场。2. 为了保障讲解质量，参观团体根据人数划分场次，每场参观人数上限为40人。3. 收费仅针对参观时需提供讲解服务的校内外单位、团体及个人。除学校安排的公务接待及无经费支持的校内师生校友参观讲解不收费外，其他情况均按照统一标准收费。",乘坐地铁5号线到雁翔路北口站下,4.7,3条点评,,663
西安市中国古琴博物馆,,陕西省西安市沣东新城沣河东路818号,www.guqinart.com,,,,,乘坐823路到诗经里站下,,,,,,664
西安市德江陶瓷模范标本博物馆,,陕西省西安市灞桥区白鹿仓灞柳东路2，3，5号白家大院,http://www.360qjw.cn,,,,,乘坐地铁9号线到灞柳二路站下,,,,,,665
长安大学地质博物馆,,西安市雁塔路126号地学科技大厦,,,,,,乘坐26路到陕西历史博物馆站下,,,,,,666
楼增良红木雕刻艺术博物馆,,陕西省西安市西咸新区空港新城规划园区十路西,,,,,,乘坐4路到南二环桃园路口站下,,,,,,667
西安建筑科技大学中国音乐史博物馆,,陕西省西安市高新区草堂寺景区草寺东路西安建筑科技大学草堂校区,,,,,,乘坐高新旅游1号线到草堂寺站下,,,,,,668
白衣阁,,西安市碑林区友谊西路72号,,,,,,全年 9:00-17:30,乘坐40路到小雁塔站下,,5,2条点评,,669
秦二世陵遗址博物馆,,西安市曲江新区曲江池南路252号,,,,,,乘坐270路到曲江池南路竹里巷口站下,,,,,,670
西安市秦阿房宫遗址博物馆,,西安市王寺东街172号,,,,,,全年 周二至周日 10:00-16:00,乘坐831路到王寺站下,,,,,671
石佛寺,,西安市子午大道南段(近西安联合学院),,,,,,乘坐游9/320路到黄良南站下,,,,,,672
西安户邑民间艺术博物馆,,芙蓉西路99号唐市街区,http://www.huyiart.com/,,,,,乘坐24路到大唐芙蓉园南门站下,,,,,,673
西安市曲江丝路遗珍博物馆,,陕西省西安市曲江新区大唐芙蓉园紫云楼四楼,,,,,西安曲江丝路遗珍博物馆位于西安大唐芙蓉园紫云楼，是一家非国有民办博物馆，也是西安市第一家以丝路文化为主题的专题性展馆。展馆面积千余平方米，馆内主要收藏陈设丝路沿线文化历史留存下的一些珍贵文物及艺术品，从汉唐时期我国贸易往来的丝织品，到难得一见的琉璃器以及工艺精美的金银器等五大类别。,全年 9:00-18:00,乘坐地铁4号线到大唐芙蓉园站下,,,,,674
西安工程大学纺织服装博物馆,,陕西省西安市临潼区陕鼓大道58号,http://www.xpu.edu.cn.,,,,,乘坐地铁9号线到西工程大·西科大(临潼校区)站下,,,,,,675
西安钱币博物馆,,西大街188号,,,,,,乘坐4路到桥梓口站下,,,,,,676
西安市雅观陶瓷艺术博物馆,,西安市北二环中段669号,,,,,,手机充电：有共享充电宝,乘坐36路到北二环贞观路口站下,,,,,677
西安汉风水务博物馆,,陕西省西安市北二环西段汉城湖景区大风阁,www.hanchenghu.com,,,,,乘坐235路到朱宏路龙首北路口站下,,,,,,678
西安金威啤酒博物馆,,西安市经济技术开发区凤城十二路99号,,,,,,乘坐地铁4号线到凤城十二路站下,,,,,,679
汤姆熊欢乐世界(阳光天地店),,硕士路,,,,,汤姆熊欢乐世界是室内主题乐园。各式游乐设施小巧别致，色彩明快。以培养孩子的勇敢创新为主。是一所集游乐、运动、益智、健身等功能于一体的儿童综合游乐场所。,全年 10:00-22:00,乘坐183路到西部大道博士路口站下,,4.2,13条点评,,680
方丈殿,,西安市碑林区友谊西路72号,,,,,,全年 9:00-17:30,乘坐游7路到小雁塔站下,,,,,681
泾渭上河苑,,西安市高陵区张卜镇,,,,,泾渭上河苑占地2000余亩，栽种樱花数量达30万株，汇集了普贤象、雨情垂枝、郁金樱、八重红大岛、关山樱等品类30余种。园区内环境优美，设施齐全，是目前陕西境内樱花种植密集的地方。,全年 9:00-18:00,补充说明：1、景区暂无优待政策，具体请以景区当天公示为准。,乘坐高陵韩家村线到张卜中学站下,,,,682
长安大学公路交通博物馆,,陕西省西安市长安大学渭水校区,http://shg.chd.edu.cn/jgsz/znjs/jtg.htm,,,,,乘坐362路到尚苑路长安大学站下,,,,,,683
西安美术学院美术博物馆,,陕西省西安市雁塔区含光路南段100号西安美术学院2号教学楼内,http://fineartmuseum.xafa.edu.cn/,,,,,乘坐603路到省体育场站下,,,,,,684
西安音乐学院艺术博物馆,,陕西省西安市长安中路108号,,,,,,乘坐26路到南二环长安立交南站下,,,,,,685
西安市团结民俗博物馆,,陕西省西安市未央区团结村三组甲字一号,,,,,,乘坐267路到团结四社站下,,,,,,686
西安市曲江第二小学儿童博物馆,,陕西省西安市雁翔路4050号曲江第二小学内行政楼4楼,http://www.qj2x.com/web/front/welcome.ods,,,,,乘坐606路到石羊农庄站下,,,,,,687
西安锦业美术博物馆,,高新区锦业路76号,,,,,,乘坐地铁6号线到丈八六路站下,,,,,,688
汉长安城遗址陈列馆,,西安市未央区未央宫街道办邓六路中段,,,,,,乘坐223路延点区间到雁雀门村站下,,,,,,689
西安美都博物馆,,西安市未央宫街办丰景路中段,www.mdmuseum.com,,,,,乘坐234路到北徐站下,,,,,,690
